time x y z G
3,748 -0,02736 0,3303 0,96745 1,0226466458
3,759 -0,02932 0,32835 0,9655 1,0202272467
3,768 -0,03127 0,33421 0,96159 1,0184937236
3,778 -0,02345 0,34007 0,95377 1,012854738
3,791 -0,01954 0,34007 0,95377 1,0127717558
3,798 -0,02345 0,34789 0,95573 1,0173481152
3,808 -0,02541 0,3518 0,95377 1,0169002513
3,819 -0,02345 0,34985 0,94986 1,0125112071
3,831 -0,0215 0,34985 0,94791 1,010638729
3,85 -0,01954 0,34398 0,95768 1,0177696372
3,851 -0,02345 0,34789 0,96354 1,0246885801
3,862 -0,0215 0,34398 0,95768 1,0178091534
3,868 -0,0215 0,34007 0,95768 1,0164943863
3,878 -0,01954 0,34398 0,95573 1,0159349806
3,891 -0,02932 0,3518 0,95377 1,0170054647
3,898 -0,03518 0,34789 0,96159 1,0231912884
3,908 -0,02932 0,34789 0,9655 1,026682699
3,918 -0,02541 0,34985 0,95964 1,0217385283
3,938 -0,01564 0,34789 0,96941 1,0300620417
3,941 -0,01564 0,35571 0,96941 1,0327293749
3,948 -0,01564 0,35962 0,94791 1,0139548916
3,958 -0,01759 0,36157 0,92445 0,9927991114
3,968 -0,02932 0,35571 0,94009 1,0055637596
3,978 -0,03127 0,35766 0,94205 1,0081451736
3,991 -0,03518 0,35962 0,94009 1,0071411941
3,998 -0,03909 0,35571 0,94595 1,011374824
4,008 -0,043 0,3518 0,95964 1,0229961728
4,018 -0,03909 0,34594 0,95182 1,0134909097
4,03 -0,03127 0,34398 0,94791 1,0088773074
4,044 -0,02345 0,34398 0,94986 1,0104979775
4,048 -0,01759 0,34594 0,96159 1,0220759364
4,059 -0,01564 0,34398 0,95964 1,0195468501
4,068 -0,01368 0,34398 0,96159 1,0213543513
4,078 -0,01173 0,34789 0,95964 1,020820246
4,089 -0,02345 0,36353 0,94791 1,015498563
4,098 -0,02541 0,36548 0,94791 1,0162453772
4,108 -0,02345 0,36548 0,94205 1,0107342556
4,118 -0,02345 0,36157 0,94205 1,0093269886
4,129 -0,02345 0,35376 0,9655 1,0285359936
